,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
02/16/2026,AplPay CLIPPER MOBILSAN FRANCISCO       CA,10.00,"00024315264 877-878-8883
AplPay CLIPPER MOBILE
SAN FRANCISCO
CA
Description : OTHER TRANSPORTATIO Price : 0.00
877-878-8883",AplPay CLIPPER MOBILSAN FRANCISCO       CA,"SUITE 800
375 BEALE STREET","SAN FRANCISCO
CA",94105,UNITED STATES,3.2026E+17,Other-Government Services
02/16/2026,WAKABA              San Francisco       CA,37.30,"9akxBrvyoDQ squareup.com/receipts
WAKABA
San Francisco
CA
squareup.com/receipts",WAKABA              San Francisco       CA,SAN FRANCISCO INTERNATIONAL AIRPORT,"SAN FRANCISCO
CA",94128,UNITED STATES OF AMERICA (THE),320260470275391246,Restaurant-Restaurant
02/15/2026,ELEVENLABS.IO       NEW YORK            NY,5.33,"CH_3T16UVLM +19177203691
ELEVENLABS.IO
NEW YORK
NY
+19177203691",ELEVENLABS.IO       NEW YORK            NY,169 MADISON AVE STE 2484,"NEW YORK
NY",10016,UNITED STATES,320260460248126707,Merchandise & Supplies-Computer Supplies
02/15/2026,TST* NOODLEOSOPHY - MILLBRAE            CA,41.03,"21105176047 650-684-6034
TST* NOODLEOSOPHY - MILBR 00083583
MILLBRAE
CA
650-684-6034",TST* NOODLEOSOPHY - MILLBRAE            CA,102 SOUTH EL CAMINO REAL,"MILLBRAE
CA",94030,UNITED STATES,320260470278187390,Restaurant-Restaurant
02/14/2026,CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,21.32,"CH_3T0UYWBJ +14152360599
CLAUDE.AI SUBSCRIPTION
SAN FRANCISCO
CA
+14152360599",CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,731 SANSOME ST,"SAN FRANCISCO
CA",94111,UNITED STATES,320260460263152057,Merchandise & Supplies-Computer Supplies
02/13/2026,AplPay CLIPPER MOBILSAN FRANCISCO       CA,10.00,"00024294912 877-878-8883
AplPay CLIPPER MOBILE
SAN FRANCISCO
CA
Description : OTHER TRANSPORTATIO Price : 0.00
877-878-8883",AplPay CLIPPER MOBILSAN FRANCISCO       CA,"SUITE 800
375 BEALE STREET","SAN FRANCISCO
CA",94105,UNITED STATES,320260450218355565,Other-Government Services
02/13/2026,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,20.00,"CH_3T0BNYC6 +14158799686
OPENAI *CHATGPT SUBSCR
SAN FRANCISCO
CA
+14158799686",OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,1455 3RD ST,"SAN FRANCISCO
CA",94158,UNITED STATES,320260450236554373,Merchandise & Supplies-Computer Supplies
02/13/2026,WHOLE FOODS MARKET  PALO ALTO           CA,76.88,"0JV3DXK91SG 4153268676
WHOLE FOODS MARKET
PALO ALTO
CA
Description : GROCERY STORES Price : 0.7688
4153268676",WHOLE FOODS MARKET  PALO ALTO           CA,774 EMERSON ST PA,"PALO ALTO
CA",94301,UNITED STATES,320260450228862150,Merchandise & Supplies-Groceries
02/12/2026,TARGET        033357SAN MARCOS          TX,-4.10,"000716844   612-3044357
TARGET        033357 09100033357
SAN MARCOS
TX
Description : SEE INVOICE Price : 0.041
612-3044357",TARGET        033357SAN MARCOS          TX,"SUITE 200
101 CONCHO STREET","SAN MARCOS
TX",78666,UNITED STATES,320260430160646862,Merchandise & Supplies-Wholesale Stores
02/12/2026,TARGET        033357SAN MARCOS          TX,14.92,"001607959   612-3044357
TARGET        033357 09100033357
SAN MARCOS
TX
Description : SEE INVOICE Price : 0.1492
612-3044357",TARGET        033357SAN MARCOS          TX,"SUITE 200
101 CONCHO STREET","SAN MARCOS
TX",78666,UNITED STATES,320260430158890437,Merchandise & Supplies-Wholesale Stores
